,ORDER ID,ORDER_DATE,AMOUNT
478,2.01819E+11,8/24/2018,115
479,2.01819E+11,8/24/2018,60
480,2.01819E+11,8/24/2018,223
481,2.01819E+11,8/24/2018,460
482,2.01819E+11,8/24/2018,161
483,2.01819E+11,8/24/2018,412
484,2.01819E+11,8/24/2018,48
485,2.01819E+11,8/24/2018,458
486,2.01819E+11,8/24/2018,34
487,2.01819E+11,8/24/2018,265
488,2.01819E+11,8/25/2018,852
489,2.01819E+11,8/25/2018,660
490,2.01819E+11,8/25/2018,227
491,2.01819E+11,8/25/2018,1200
492,2.01819E+11,8/25/2018,503
493,2.01819E+11,8/25/2018,82
494,2.01819E+11,8/25/2018,285
495,2.01819E+11,8/25/2018,578
496,2.01819E+11,8/25/2018,472
497,2.01819E+11,8/25/2018,599
498,2.01819E+11,8/25/2018,29
499,2.01819E+11,8/25/2018,272
500,2.01819E+11,8/25/2018,243
501,2.01819E+11,8/25/2018,928
502,2.01819E+11,8/25/2018,96
503,2.01819E+11,8/25/2018,24
504,2.01819E+11,8/25/2018,279
505,2.01819E+11,8/25/2018,689
506,2.01819E+11,8/25/2018,604
507,2.01819E+11,8/25/2018,244
508,2.01819E+11,8/25/2018,862
509,2.01819E+11,8/25/2018,643
510,2.01819E+11,8/25/2018,33
511,2.01819E+11,8/25/2018,190
512,2.01819E+11,8/25/2018,282
513,2.01819E+11,8/25/2018,230
514,2.01819E+11,8/25/2018,385
515,2.01819E+11,8/25/2018,462
516,2.01819E+11,8/25/2018,296
517,2.01819E+11,8/25/2018,80
518,2.01819E+11,8/25/2018,330
519,2.01819E+11,8/25/2018,51
520,2.01819E+11,8/25/2018,85
521,2.01819E+11,8/27/2018,570
522,2.01819E+11,8/27/2018,225
523,2.01819E+11,8/27/2018,111
524,2.01819E+11,8/27/2018,400
525,2.01819E+11,8/27/2018,241
526,2.01819E+11,8/27/2018,85
527,2.01819E+11,8/27/2018,345
528,2.01819E+11,8/27/2018,370
529,2.01819E+11,8/27/2018,360
530,2.01819E+11,8/27/2018,435
531,2.01819E+11,8/27/2018,941
532,2.01819E+11,8/27/2018,57
533,2.01819E+11,8/27/2018,99
534,2.01819E+11,8/27/2018,273
535,2.01819E+11,8/27/2018,257
536,2.01819E+11,8/27/2018,233
537,2.01819E+11,8/27/2018,99
538,2.01819E+11,8/27/2018,1325
539,2.01819E+11,8/27/2018,143
540,2.01819E+11,8/27/2018,180
541,2.01819E+11,8/27/2018,222
542,2.01819E+11,8/28/2018,57
543,2.01819E+11,8/28/2018,339
544,2.01819E+11,8/28/2018,139
545,2.01819E+11,8/28/2018,190
546,2.01819E+11,8/28/2018,228
547,2.01819E+11,8/28/2018,185
548,2.01819E+11,8/28/2018,51
549,2.01819E+11,8/28/2018,595
550,2.01819E+11,8/28/2018,279
551,2.01819E+11,8/28/2018,143
552,2.01819E+11,8/28/2018,102
553,2.01819E+11,8/28/2018,412
554,2.01819E+11,8/28/2018,211
555,2.01819E+11,8/28/2018,138
556,2.01819E+11,8/28/2018,776
557,2.01819E+11,8/28/2018,278
558,2.01819E+11,8/28/2018,532
559,2.01819E+11,8/28/2018,106
560,2.01819E+11,8/29/2018,71
561,2.01819E+11,8/29/2018,192
562,2.01819E+11,8/29/2018,48
563,2.01819E+11,8/29/2018,284
564,2.01819E+11,8/29/2018,247
565,2.01819E+11,8/29/2018,313
566,2.01819E+11,8/29/2018,224
567,2.01819E+11,8/29/2018,107
568,2.01819E+11,8/29/2018,57
569,2.01819E+11,8/29/2018,321
570,2.01819E+11,8/29/2018,105
571,2.01819E+11,8/29/2018,269
572,2.01819E+11,8/29/2018,171
573,2.01819E+11,8/29/2018,85
574,2.01819E+11,8/29/2018,230
575,2.01819E+11,8/29/2018,349
576,2.01819E+11,8/29/2018,566
577,2.01819E+11,8/29/2018,412
578,2.01819E+11,8/29/2018,203
579,2.01819E+11,8/29/2018,391
580,2.01819E+11,8/29/2018,220
581,2.01819E+11,8/29/2018,180
582,2.01819E+11,8/29/2018,48
583,2.01819E+11,8/29/2018,14
584,2.01819E+11,8/29/2018,197
585,2.01819E+11,8/30/2018,85
586,2.01819E+11,8/30/2018,85
587,2.01819E+11,8/30/2018,157
588,2.01819E+11,8/30/2018,114
589,2.01819E+11,8/30/2018,57
590,2.01819E+11,8/30/2018,137
591,2.01819E+11,8/30/2018,340
592,2.01819E+11,8/30/2018,356
593,2.01819E+11,8/30/2018,222
594,2.01819E+11,8/30/2018,76
595,2.01819E+11,8/30/2018,121
596,2.01819E+11,8/30/2018,90
597,2.01819E+11,8/30/2018,71
598,2.01819E+11,8/30/2018,1308
599,2.01819E+11,8/30/2018,178
600,2.01819E+11,8/30/2018,149
601,2.01819E+11,8/30/2018,463
602,2.01819E+11,8/30/2018,492
603,2.01819E+11,8/30/2018,141
604,2.01819E+11,8/30/2018,156
605,2.01819E+11,8/30/2018,265
606,2.01819E+11,8/30/2018,1086
607,2.01819E+11,8/30/2018,313
608,2.01819E+11,8/31/2018,14
609,2.01819E+11,8/31/2018,826
610,2.01819E+11,8/31/2018,1140
611,2.01819E+11,8/31/2018,160
612,2.01819E+11,8/31/2018,322
613,2.01819E+11,8/31/2018,113
614,2.01819E+11,8/31/2018,57
615,2.01819E+11,8/31/2018,148
616,2.01819E+11,8/31/2018,150
617,2.01819E+11,8/31/2018,142
618,2.01819E+11,8/31/2018,1005
619,2.01819E+11,8/31/2018,34
620,2.01819E+11,8/31/2018,594
621,2.01819E+11,8/31/2018,136
622,2.01819E+11,8/31/2018,89
623,2.01819E+11,8/31/2018,189
624,2.01819E+11,8/31/2018,85
625,2.01819E+11,8/31/2018,132
626,2.01819E+11,8/31/2018,152
627,2.01819E+11,8/31/2018,75
628,2.01819E+11,8/31/2018,2267
629,2.01819E+11,8/31/2018,90
630,2.01819E+11,8/31/2018,185
631,2.01819E+11,8/31/2018,6608
632,2.01819E+11,8/31/2018,346
633,2.01819E+11,8/31/2018,102
634,2.01819E+11,8/31/2018,340
635,2.01819E+11,8/31/2018,14
636,,,224125
